node_id,name,lat,lon
266,NUS Staff Club,1.299223,103.7758
267,LT32,1.29602,103.77834
268,Science-BIZ Shortcut,1.295074,103.7773
269,RVRC Uhall Lobby,1.29743,103.77704
270,USC Carpark (CP5),1.300159,103.7749
271,Lower Kent Ridge Road,1.298975,103.7751
272,Yusof Ishak House (YIH),1.298624,103.7749
300,Raffles Hall Roundabout,1.300602,103.7742
301,Kent Ridge Crescent,1.300085,103.7745
302,YIH Roundabout,1.29938,103.7746
303,Kent Ridge Crescent,1.30111,103.7732
304,Kent Ridge Crescent,1.30109,103.7719
305,Clementi Rd-KR Cres Junction (Engin),1.301552,103.7705
306,NUS Museum,1.301392,103.7726
307,University Cultural Centre (UCC),1.301622,103.772
308,Lee Kong Chian Natural History Museum (LKCNHM),1.301421,103.7736
309,Yong Siew Toh Conservatory of Music (YST),1.302198,103.7727
310,LKC Carpark (CP3A),1.302046,103.7736
311,YST Carpark (CP3),1.30252,103.773
312,Clementi Road,1.30065,103.7701
313,Clementi Road,1.299377,103.7699
314,Clementi Road,1.297858,103.7698
315,Architecture Drive,1.296703,103.7709
316,SDE4,1.29686,103.7704
317,Architecture Drive,1.296778,103.7701
318,CELC,1.297066,103.7714
319,SDE2,1.297296,103.7711
320,SDE1,1.29735,103.7707
321,Architecture Drive,1.297841,103.7702
322,SDE3,1.298206,103.7704
323,EW1,1.298587,103.7707
324,Architecture Drive,1.298979,103.7701
325,EA Carpark (CP2B),1.299542,103.7702
326,Engineering Drive 1,1.299897,103.7702
327,Engineering Drive 1,1.300814,103.7705
328,EA Carpark (CP2A),1.300693,103.7717
329,Kuok Foundation House,1.30038,103.7737
330,Raffles Hall Carpark (CP4),1.30045,103.7739
331,Raffles Hall Main Lobby,1.300056,103.774
332,Runme Shaw CFA Studios,1.299247,103.7738
334,LT7A,1.30049,103.7709
335,E3A,1.300371,103.7713
336,LT7,1.300134,103.7711
337,EA,1.300246,103.7706
338,Engineering Drive 1,1.300287,103.7722
339,Engineering Drive 3,1.300036,103.7718
340,T-Lab Carpark (CP2),1.299734,103.7725
341,T-Lab,1.299682,103.772
342,E1A,1.299349,103.7707
343,E1,1.298717,103.7711
344,E2A,1.29893,103.77133
345,LT5,1.298324,103.7713
346,Information Technology,1.297535,103.7725
347,E5,1.29803,103.7725
348,E4,1.298427,103.7722
349,E4A,1.298657,103.7726
350,Engineering Drive 3,1.298744,103.7722
351,LT6,1.29881,103.772
352,E6,1.299179,103.773
353,Engineering Drive 1,1.298895,103.7729
354,EW2/WS2,1.299131,103.7725
355,E3,1.299521,103.7716
356,LT2,1.299349,103.7714
357,LT1,1.299559,103.7712
358,E2,1.299502,103.7711
359,Kent Vale,1.302016,103.7692
400,Clementi Rd - KR Cres Junction,1.296054,103.7697
401,KR Dr - KR Cres Junction,1.296289,103.771
402,Kent Ridge Crescent,1.296572,103.7723
403,Clementi Road,1.295351,103.7696
404,Ventus,1.295322,103.7702
